molecule_id,L1,L2,L3,wavelength,plqy,lifetime,temperature,solvent
MOL_0021,CC,CC,CCO,426.89804670089455,0.2901240858361289,1.5960657122344328,50,thf
MOL_0022,CCC,CC(=O)O,C1CCC(C)CC1,413.96344313300614,0.7784015718932679,2.3810410611756376,75,dmso
MOL_0023,C1CCC(O)CC1,C1CCC(O)CC1,CC,537.846515069838,0.7228099463348201,0.9605825873323394,100,water
MOL_0024,CC(C)O,CCC,CC(C)O,449.27679799641953,0.6696528856494883,1.6856025681978857,100,water
MOL_0025,CC(=O)O,c1ccc(CC)cc1,CC(C)O,420.6060226986481,0.6774383704767069,1.4955077040934834,100,water
MOL_0026,C1CCC(C)CC1,CCO,CC,515.1976558849685,0.6381822871777311,0.9526098578243836,100,thf
MOL_0027,CC(C)O,CC,CC(=O)O,433.5908677383145,0.6253997786494901,2.0577187714650926,100,ethanol
MOL_0028,CC(C)O,CC(C)(C)O,CCO,480.9869478464173,0.81251056615142,1.4469002129760091,25,ethanol
MOL_0029,C1CCC(O)CC1,c1ccc(O)cc1,c1ccccc1,490.9100547607716,0.6240105367886093,2.0209856436900298,100,thf
MOL_0030,CC(C)(C)O,CC(C)CO,CC(C)CO,507.5734709638179,0.616040549180619,1.941876394137327,50,water
MOL_0031,C1CCCCC1,CC,CCCO,490.7592000738399,0.5395304005326441,1.0858376032944768,100,dmso
MOL_0032,C1CCC(C)CC1,C1CCC(C)CC1,CC(=O)C,505.530744293483,0.7914000494092092,1.7946475249147091,75,thf
MOL_0033,CC,CC,CC(C)O,418.5434217468625,0.5614093744130204,1.3508522442576025,75,ethanol
MOL_0034,CC(C)O,c1ccc(O)cc1,CC(C)(C)O,464.6190744589027,0.6391063108609638,2.111484701772475,25,thf
MOL_0035,CC,c1ccc(C)cc1,CC(=O)O,421.0272171895927,0.7649774038488734,2.0557848687771925,50,dmso
MOL_0036,CC(C)O,CCC(=O)O,c1ccccc1,488.74712656667054,0.6607306372740632,2.066176265594417,100,ethanol
MOL_0037,CC(=O)C,C1CCCCC1,CCO,489.76405221008224,0.6765022798109339,1.1288142164341264,50,dmso
MOL_0038,C1CCC(C)CC1,c1ccc(CC)cc1,CC(C)CO,517.0883917023932,0.5519687411547444,1.8932784003944836,100,thf
MOL_0039,CC(=O)C,CCCO,c1ccccc1,459.7811106542608,0.8189035957392462,2.1686827516641065,75,thf
MOL_0040,C1CCC(O)CC1,CCC(=O)O,c1ccc(CC)cc1,530.960394879899,0.5971430252524293,2.111100251156164,75,ethanol
MOL_0041,CCCO,c1ccc(C)cc1,CC(=O)C,406.6173528181894,0.5999703592944223,1.6330997528318105,25,dmso
MOL_0042,CCO,C1CCC(O)CC1,c1ccc(O)cc1,433.67711028819116,0.7777897135098835,2.5269282496014815,25,ethanol
MOL_0043,CC(C)O,CC(=O)C,C1CCC(O)CC1,464.5369764396157,0.5719995665882057,2.0473188310265455,75,water
MOL_0044,CC(C)(C)O,CCCO,CC(=O)C,479.01494185271395,0.6896796254441404,2.122622431391641,50,ethanol
MOL_0045,CCCO,CCC,CCO,430.0318675458711,0.5601813611194677,1.4511870563583305,100,water
MOL_0046,CCC(=O)O,CCC,C1CCC(O)CC1,483.9811939114694,0.4999783122841206,2.1139604169980037,75,thf
MOL_0047,CC(=O)C,CC(C)O,CC,462.2937280627648,0.8333033374656267,0.8095824400954996,25,thf
MOL_0048,CC(C)O,CC,CC,437.101029598572,0.5991316116927982,1.0233842683040932,50,ethanol
MOL_0049,CC(C)O,C1CCC(C)CC1,c1ccc(O)cc1,446.01243903207035,0.8754922676636602,1.9037599329524901,50,ethanol
MOL_0050,c1ccc(C)cc1,c1ccccc1,CCC,489.14077212794297,0.7926471668319048,1.389729734810401,100,ethanol
MOL_0051,CCCO,c1ccc(C)cc1,CC(C)O,438.4253663266439,0.7179098406035852,1.6234654766617564,50,water
MOL_0052,c1ccccc1,CCCO,CC(=O)C,511.0571955167865,0.5360482124525723,1.6184169294457411,25,water
MOL_0053,C1CCC(O)CC1,CCC(=O)O,C1CCC(C)CC1,515.2324611194493,0.6188709409340186,2.2968047089126182,100,ethanol
MOL_0054,C1CCCCC1,C1CCC(O)CC1,CCCO,459.87965237000594,0.5985811387212268,1.6316221747000135,75,thf
MOL_0055,c1ccccc1,CCC(=O)O,c1ccc(CC)cc1,495.83325387925873,0.8413666575878908,2.280916579023505,75,thf
MOL_0056,c1ccc(C)cc1,c1ccc(CC)cc1,CC(=O)C,511.11144313887934,0.7460232921489091,1.412107680673254,25,ethanol
MOL_0057,CCO,CCCO,CCCO,422.33024947610477,0.6245506901281384,1.1076486687928555,25,water
MOL_0058,C1CCC(C)CC1,c1ccccc1,CCC(=O)O,496.71545113391153,0.7960111366248173,1.3925848130055722,50,dmso
MOL_0059,c1ccccc1,CC(C)O,CCC(=O)O,511.4006456108534,0.618148686400761,1.7422682722159726,50,thf
MOL_0060,c1ccc(O)cc1,c1ccc(C)cc1,c1ccccc1,520.3869302848234,0.8732738913002578,1.7782479703086285,25,water
MOL_0061,CC,CC(C)CO,CC(C)CO,428.0342344419788,0.45032527798170774,1.8198186651658284,100,ethanol
MOL_0062,CC(=O)O,CCCO,CCC,479.4725477545513,0.5854350577938571,1.7551522595134408,50,dmso
MOL_0063,CC,CC(C)O,C1CCC(O)CC1,428.12453370099854,0.6566909417096974,2.141899372526472,50,thf
MOL_0064,C1CCC(O)CC1,c1ccc(O)cc1,CC(C)CO,553.7960586643535,0.6391701714644848,1.532055631563845,50,thf
MOL_0065,CCCO,c1ccc(C)cc1,CCC,428.0121470911196,0.5287293482935781,1.3724952917610604,100,water
MOL_0066,C1CCC(O)CC1,CCC(=O)O,CC(C)(C)O,543.6936992921125,0.4869684689575822,1.9284100183835136,25,dmso
MOL_0067,CC,CC,C1CCCCC1,440.7431692988925,0.5695477524423184,1.5805308262866684,75,water
MOL_0068,C1CCC(C)CC1,CCC(=O)O,CC,460.95470797368534,0.5698706181335332,1.1782742671822288,50,thf
MOL_0069,C1CCC(C)CC1,CCCO,CCCO,508.8903008340465,0.5805243699718182,1.4093961187529482,25,water
MOL_0070,CCCO,c1ccc(CC)cc1,c1ccc(CC)cc1,412.98556094116987,0.6762764467924123,2.0686942097062366,25,water
MOL_0071,CCC,CC,C1CCC(C)CC1,414.4183954150425,0.19218307863634437,2.0463473876100977,75,dmso
MOL_0072,CC(=O)C,CC,CC(=O)C,490.5315969310416,0.5566088132508151,1.495923350547569,75,dmso
MOL_0073,C1CCCCC1,CCCO,CC(C)(C)O,474.618111241421,0.4835076539419895,2.037210291999688,50,thf
MOL_0074,CCO,CC(C)CO,CCO,446.4670503255793,0.8452452741745491,1.3502389944439348,25,ethanol
MOL_0075,CC,C1CCCCC1,c1ccc(CC)cc1,410.92406670055686,0.4896617560644846,2.1888904602206765,100,water
MOL_0076,CCO,CC(C)CO,CCO,452.4535536959604,0.4958804239504001,1.275417738689709,25,dmso
MOL_0077,C1CCC(O)CC1,CC(=O)O,C1CCC(O)CC1,508.49392690489753,0.5298748095152888,2.197534654984659,100,water
MOL_0078,CC(C)O,CC(C)O,CCCO,434.39417743529486,0.4898396674258,1.410168513827231,25,water
MOL_0079,CC(=O)C,CC(C)(C)O,CCO,460.2271982922384,0.6425338671643855,1.136264602936284,75,water
MOL_0080,C1CCCCC1,C1CCCCC1,CC(=O)O,497.0270852920102,0.5979636277464448,1.5527175655484708,75,dmso
MOL_0081,CC(C)(C)O,CC(C)(C)O,CCO,501.5900880309971,0.7651402092378828,1.1024128308406917,75,dmso
MOL_0082,CC(C)(C)O,CC(=O)O,C1CCCCC1,466.6046313234982,0.47409084116123434,1.8587332047218932,100,ethanol
MOL_0083,c1ccccc1,C1CCC(C)CC1,c1ccccc1,470.22460353088934,0.7275265945929188,1.6249982665083849,25,water
MOL_0084,CCC(=O)O,CCC,c1ccc(CC)cc1,479.84054717366763,0.7079944138890026,2.215473661529524,50,dmso
MOL_0085,c1ccc(O)cc1,c1ccc(O)cc1,C1CCC(C)CC1,492.77431597343474,0.5192431978637225,2.3134912344469507,25,ethanol
MOL_0086,CCO,CCC(=O)O,CC(C)CO,402.02864852361716,0.7162969236690571,1.5698714861756347,75,ethanol
MOL_0087,c1ccc(C)cc1,CC(C)O,c1ccc(O)cc1,500.25749232470605,0.6373966329169569,2.2815743894484855,75,thf
MOL_0088,C1CCCCC1,CC(C)CO,C1CCC(C)CC1,515.9032911327793,0.6325492353468828,2.2132680261038047,75,thf
MOL_0089,CCC(=O)O,CC(=O)C,CCCO,496.6363635221053,0.5835442996730426,1.199590655274253,75,thf
MOL_0090,CC,C1CCC(C)CC1,CC(=O)C,425.1944500344296,0.6295683374895591,1.827718491755475,75,dmso
MOL_0091,CCC,CCC(=O)O,CC(=O)O,396.7695987546208,0.4870419906990855,1.948342791930469,100,ethanol
MOL_0092,CCCO,c1ccc(CC)cc1,CC(=O)C,452.5323213506597,0.6387381929086968,2.177975654443665,75,ethanol
MOL_0093,C1CCC(C)CC1,CCCO,CC(=O)C,497.91171043736574,0.648396163747445,1.6710951829292193,75,water
MOL_0094,CCO,CC(=O)C,CC(C)O,431.731795749458,0.624432276460792,1.8335564123319616,100,dmso
MOL_0095,c1ccc(C)cc1,CCCO,CC(C)(C)O,515.0884168660243,0.631612472857769,1.9950987282898347,25,water
MOL_0096,CC(C)(C)O,CCC,CCC(=O)O,524.1858498945925,0.6424900186128735,2.1544755973955194,100,dmso
MOL_0097,CC(C)CO,CC,C1CCCCC1,462.03253219646103,0.3539090119145354,1.9993880136556808,75,dmso
MOL_0098,CCO,CC(C)(C)O,c1ccc(O)cc1,434.8403028813559,0.5269521256812747,1.7265296347261783,75,thf
MOL_0099,c1ccc(CC)cc1,C1CCCCC1,C1CCCCC1,504.70417226089097,0.7232781866106285,2.2541385715608793,75,dmso
