sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,species_name,petal_area
6.9,3.1,4.9,1.5,1,versicolor,7.3500000000000005
5.5,2.3,4.0,1.3,1,versicolor,5.2
6.5,2.8,4.6,1.5,1,versicolor,6.8999999999999995
5.7,2.8,4.5,1.3,1,versicolor,5.8500000000000005
6.3,3.3,4.7,1.6,1,versicolor,7.5200000000000005
4.9,2.4,3.3,1.0,1,versicolor,3.3
6.6,2.9,4.6,1.3,1,versicolor,5.9799999999999995
5.2,2.7,3.9,1.4,1,versicolor,5.46
5.0,2.0,3.5,1.0,1,versicolor,3.5
5.9,3.0,4.2,1.5,1,versicolor,6.300000000000001
6.0,2.2,4.0,1.0,1,versicolor,4.0
6.1,2.9,4.7,1.4,1,versicolor,6.58
5.6,2.9,3.6,1.3,1,versicolor,4.680000000000001
6.7,3.1,4.4,1.4,1,versicolor,6.16
5.6,3.0,4.5,1.5,1,versicolor,6.75
5.8,2.7,4.1,1.0,1,versicolor,4.1
6.2,2.2,4.5,1.5,1,versicolor,6.75
5.6,2.5,3.9,1.1,1,versicolor,4.29
5.9,3.2,4.8,1.8,1,versicolor,8.64
6.1,2.8,4.0,1.3,1,versicolor,5.2
6.3,2.5,4.9,1.5,1,versicolor,7.3500000000000005
6.1,2.8,4.7,1.2,1,versicolor,5.64
6.4,2.9,4.3,1.3,1,versicolor,5.59
6.6,3.0,4.4,1.4,1,versicolor,6.16
6.8,2.8,4.8,1.4,1,versicolor,6.72
6.7,3.0,5.0,1.7,1,versicolor,8.5
6.0,2.9,4.5,1.5,1,versicolor,6.75
5.7,2.6,3.5,1.0,1,versicolor,3.5
5.5,2.4,3.8,1.1,1,versicolor,4.18
5.5,2.4,3.7,1.0,1,versicolor,3.7
5.8,2.7,3.9,1.2,1,versicolor,4.68
6.0,2.7,5.1,1.6,1,versicolor,8.16
5.4,3.0,4.5,1.5,1,versicolor,6.75
6.0,3.4,4.5,1.6,1,versicolor,7.2
6.7,3.1,4.7,1.5,1,versicolor,7.050000000000001
6.3,2.3,4.4,1.3,1,versicolor,5.720000000000001
5.6,3.0,4.1,1.3,1,versicolor,5.33
5.5,2.5,4.0,1.3,1,versicolor,5.2
5.5,2.6,4.4,1.2,1,versicolor,5.28
6.1,3.0,4.6,1.4,1,versicolor,6.4399999999999995
5.8,2.6,4.0,1.2,1,versicolor,4.8
5.0,2.3,3.3,1.0,1,versicolor,3.3
5.6,2.7,4.2,1.3,1,versicolor,5.460000000000001
5.7,3.0,4.2,1.2,1,versicolor,5.04
5.7,2.9,4.2,1.3,1,versicolor,5.460000000000001
6.2,2.9,4.3,1.3,1,versicolor,5.59
5.1,2.5,3.0,1.1,1,versicolor,3.3000000000000003
5.7,2.8,4.1,1.3,1,versicolor,5.33
6.3,3.3,6.0,2.5,2,virginica,15.0
5.8,2.7,5.1,1.9,2,virginica,9.69
7.1,3.0,5.9,2.1,2,virginica,12.39
6.3,2.9,5.6,1.8,2,virginica,10.08
6.5,3.0,5.8,2.2,2,virginica,12.76
7.6,3.0,6.6,2.1,2,virginica,13.86
4.9,2.5,4.5,1.7,2,virginica,7.6499999999999995
7.3,2.9,6.3,1.8,2,virginica,11.34
6.7,2.5,5.8,1.8,2,virginica,10.44
7.2,3.6,6.1,2.5,2,virginica,15.25
6.5,3.2,5.1,2.0,2,virginica,10.2
6.4,2.7,5.3,1.9,2,virginica,10.069999999999999
6.8,3.0,5.5,2.1,2,virginica,11.55
5.7,2.5,5.0,2.0,2,virginica,10.0
5.8,2.8,5.1,2.4,2,virginica,12.239999999999998
6.4,3.2,5.3,2.3,2,virginica,12.19
6.5,3.0,5.5,1.8,2,virginica,9.9
7.7,3.8,6.7,2.2,2,virginica,14.740000000000002
7.7,2.6,6.9,2.3,2,virginica,15.87
6.0,2.2,5.0,1.5,2,virginica,7.5
6.9,3.2,5.7,2.3,2,virginica,13.11
5.6,2.8,4.9,2.0,2,virginica,9.8
7.7,2.8,6.7,2.0,2,virginica,13.4
6.3,2.7,4.9,1.8,2,virginica,8.82
6.7,3.3,5.7,2.1,2,virginica,11.97
7.2,3.2,6.0,1.8,2,virginica,10.8
6.2,2.8,4.8,1.8,2,virginica,8.64
6.1,3.0,4.9,1.8,2,virginica,8.82
6.4,2.8,5.6,2.1,2,virginica,11.76
7.2,3.0,5.8,1.6,2,virginica,9.28
7.4,2.8,6.1,1.9,2,virginica,11.589999999999998
7.9,3.8,6.4,2.0,2,virginica,12.8
6.4,2.8,5.6,2.2,2,virginica,12.32
6.3,2.8,5.1,1.5,2,virginica,7.6499999999999995
6.1,2.6,5.6,1.4,2,virginica,7.839999999999999
7.7,3.0,6.1,2.3,2,virginica,14.029999999999998
6.3,3.4,5.6,2.4,2,virginica,13.44
6.4,3.1,5.5,1.8,2,virginica,9.9
6.0,3.0,4.8,1.8,2,virginica,8.64
6.9,3.1,5.4,2.1,2,virginica,11.340000000000002
6.7,3.1,5.6,2.4,2,virginica,13.44
6.9,3.1,5.1,2.3,2,virginica,11.729999999999999
5.8,2.7,5.1,1.9,2,virginica,9.69
6.8,3.2,5.9,2.3,2,virginica,13.57
6.7,3.3,5.7,2.5,2,virginica,14.25
6.7,3.0,5.2,2.3,2,virginica,11.959999999999999
6.3,2.5,5.0,1.9,2,virginica,9.5
6.5,3.0,5.2,2.0,2,virginica,10.4
6.2,3.4,5.4,2.3,2,virginica,12.42
5.9,3.0,5.1,1.8,2,virginica,9.18
